text,label
这件衣服质量太好了，面料柔软舒适，穿着很显气质，值得购买！,1
手机运行速度非常快，拍照效果也很棒，性价比超高，强烈推荐！,1
零食味道很好，包装精美，发货速度快，吃完还会再来的！,1
鞋子穿着很舒服，尺码标准，款式也好看，下次还来这家店买。,1
耳机音质不错，降噪效果很好，续航时间长，物超所值的好产品。,1
包包做工精细，皮质手感很好，颜色和图片一模一样，非常喜欢。,1
化妆品效果很好，用后皮肤水润光滑，不刺激不油腻，必须回购。,1
书籍印刷清晰，内容精彩实用，物流速度也很快，给个大大的好评！,1
家电操作简单方便，功能齐全，噪音很小，全家人都说买得值。,1
运动器材质量过硬，用了一个月没有任何问题，锻炼效果很明显。,1
家具做工精致，安装简单方便，摆在家里很好看，朋友都夸有眼光。,1
厨房用品很好用，清洗方便不粘油，材质安全放心，值得推荐给大家。,1
母婴产品质量可靠，没有异味，宝宝用着很舒服，妈妈放心之选。,1
办公用品设计合理，使用舒适，大大提高了工作效率，非常满意！,1
汽车配件完美适配我的车型，安装简单，效果超出预期，好评！,1
衣服面料很粗糙，穿着扎皮肤不舒服，跟图片差别太大了，真失望。,0
手机用了不到一个月就开始卡顿，电池也不耐用，后悔买这个了。,0
零食味道有点奇怪，像是放了很久陈掉了，不敢再买第二次了。,0
鞋子码数偏小，穿着挤脚磨脚，而且做工粗糙线头多，不值这个价。,0
耳机有明显的电流杂音，蓝牙经常断连，续航也短，白白浪费钱。,0
包包质量太差了，用了几天五金件就掉色了，跟描述完全不符。,0
化妆品用后脸上泛红过敏，成分可能有问题，真的不敢再用了。,0
这本书有好几页缺页，印刷也模糊不清，质量太差了，退货还麻烦。,0
家电噪音很大，功能也不全，售后服务态度还很差，非常糟心。,0
运动器材用了不到一周就坏了，做工太粗糙了，失望至极。,0
家具有很大刺鼻异味，安装也很不方便，跟网上图片差太多了。,0
厨房用品没用几次就生锈了，材质明显不行，洗了也没用，浪费。,0
母婴产品有刺激性气味，不敢给宝宝用，安全性让人担忧。,0
办公用品质量不好，没用几天就散架了，完全不推荐大家购买。,0
汽车配件根本不匹配，折腾半天装不上，退货处理中，很烦。,0
